2016-03-31 00:32:09,532 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/wildfly/archetype/wildfly-javaee7-webapp-archetype/8.2.0.Final/wildfly-javaee7-webapp-archetype-8.2.0.Final.pom
2016-03-31 00:32:09,633 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/archetype/wildfly-javaee7-webapp-archetype/8.2.0.Final/wildfly-javaee7-webapp-archetype-8.2.0.Final.pom
2016-03-31 00:32:09,747 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/wildfly/archetype/wildfly-javaee7-webapp-archetype/8.2.0.Final/wildfly-javaee7-webapp-archetype-8.2.0.Final.jar
2016-03-31 00:32:09,844 [main] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/wildfly/archetype/wildfly-javaee7-webapp-archetype/8.2.0.Final/wildfly-javaee7-webapp-archetype-8.2.0.Final.jar
2016-03-31 15:50:34,874 [Worker-121] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CS:CS:0.0.1-SNAPSHOT @ C:\Users\8L21QX1\code\CS\pom.xml.
2016-03-31 15:50:41,244 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 15:50:41,246 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\8L21QX1\code\CS\src\main\resources
2016-03-31 15:50:41,280 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-03-31 15:50:41,281 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\8L21QX1\code\CS\src\test\resources
2016-03-31 15:50:41,748 [Worker-121] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CS/src
2016-03-31 15:50:41,750 [Worker-121] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CS/src/test/java because it overlaps with /CS/src
